,0,1,2,3,4,5,6
223,10.0,5.0,5.0,0.8,0.8,3.7960409517323077,0.37049529810612375
224,10.0,5.0,5.0,0.8,0.85,3.801403894867466,0.3669971583605746
225,10.0,5.0,10.0,0.7,0.75,3.7870365876736196,0.37134992598654704
226,10.0,5.0,10.0,0.7,0.8,3.7867890213821704,0.3704783879251121
227,10.0,5.0,10.0,0.7,0.85,3.7898105022101154,0.3723610341782919
228,10.0,5.0,10.0,0.75,0.75,3.7918328934097554,0.3703341209047191
229,10.0,5.0,10.0,0.75,0.8,3.793885316047034,0.37058632937817393
230,10.0,5.0,10.0,0.75,0.85,3.7943830423008578,0.3681144513847995
231,10.0,5.0,10.0,0.8,0.75,3.786845668294601,0.3721871033643715
232,10.0,5.0,10.0,0.8,0.8,3.7922434870397304,0.3704652051115217
233,10.0,5.0,10.0,0.8,0.85,3.7893747659407064,0.36735239354563476
234,10.0,5.0,25.0,0.7,0.75,3.785646178571952,0.37392372405942564
235,10.0,5.0,25.0,0.7,0.8,3.7817790092497514,0.3730825038561754
236,10.0,5.0,25.0,0.7,0.85,3.786955067158246,0.3740444059176145
237,10.0,5.0,25.0,0.75,0.75,3.7803888063970708,0.3761661226899339
238,10.0,5.0,25.0,0.75,0.8,3.7805825831994277,0.37502918452749623
239,10.0,5.0,25.0,0.75,0.85,3.7871951801192827,0.3734724228276072
240,10.0,5.0,25.0,0.8,0.75,3.780470295943784,0.3764361748061553
241,10.0,5.0,25.0,0.8,0.8,3.7814755920529484,0.3736915788934645
242,10.0,5.0,25.0,0.8,0.85,3.7858077101460426,0.37271765244739014
243,10.0,5.0,50.0,0.7,0.75,3.779633034024564,0.37703096088019405
244,10.0,5.0,50.0,0.7,0.8,3.783813706779334,0.3732037515481004
245,10.0,5.0,50.0,0.7,0.85,3.7823720892764445,0.376515892612353
246,10.0,5.0,50.0,0.75,0.75,3.7824487156690507,0.37623090846149154
247,10.0,5.0,50.0,0.75,0.8,3.7834617680537357,0.3739517432499597
248,10.0,5.0,50.0,0.75,0.85,3.780367573672278,0.37493101944471774
249,10.0,5.0,50.0,0.8,0.75,3.778351696714557,0.3763194512810005
250,10.0,5.0,50.0,0.8,0.8,3.783111369440065,0.37463180595890444
251,10.0,5.0,50.0,0.8,0.85,3.7785448962211676,0.3772329135286247
252,10.0,10.0,5.0,0.7,0.75,3.793579809411954,0.37142355030538093
253,10.0,10.0,5.0,0.7,0.8,3.7937671550182985,0.3705422895378362
254,10.0,10.0,5.0,0.7,0.85,3.7904451934776735,0.3721829288031449
255,10.0,10.0,5.0,0.75,0.75,3.79224449872462,0.37021172514991074
256,10.0,10.0,5.0,0.75,0.8,3.7915518754142985,0.37137497142381115
257,10.0,10.0,5.0,0.75,0.85,3.7992801598411923,0.3675991234979398
258,10.0,10.0,5.0,0.8,0.75,3.7967518397520017,0.3687030812606437
259,10.0,10.0,5.0,0.8,0.8,3.7948162676502464,0.3679028806888045
